step,reward
0,-40
8403,-26.6
16807,5.7
25210,36.1
33613,64.2
42017,89.7
50420,112.5
58824,132.2
67227,149
75630,162.7
84034,173.6
92437,181.8
100840,187.5
109244,191.2
117647,193.4
126050,194.9
134454,196.5
142857,199.1
151261,203.6
159664,211.1
168067,222.2
176471,237.2
184874,256.2
193277,279.1
201681,305
210084,333.1
218487,362.4
226891,391.9
235294,420.5
243697,447.7
252101,473
260504,496.1
268908,517.3
277311,536.6
285714,554.5
294118,571.2
302521,587.1
310924,602.4
319328,617.1
327731,631.2
336134,644.8
344538,657.5
352941,669.4
361345,680.2
369748,689.9
378151,698.6
386555,706.2
394958,713
403361,719.1
411765,724.9
420168,730.6
428571,736.4
436975,742.5
445378,749.2
453782,756.6
462185,764.5
470588,773
478992,781.9
487395,791.1
495798,800.2
504202,809.1
512605,817.6
521008,825.3
529412,832.3
537815,838.5
546218,843.8
554622,848.3
563025,852.1
571429,855.4
579832,858.5
588235,861.4
596639,864.4
605042,867.5
613445,871
621849,874.9
630252,879
638655,883.4
647059,888
655462,892.6
663866,897.1
672269,901.3
680672,905
689076,908.3
697479,911
705882,913.2
714286,914.9
722689,916.1
731092,917.1
739496,917.8
747899,918.5
756303,919.3
764706,920.3
773109,921.5
781513,923
789916,924.9
798319,927
806723,929.4
815126,932
823529,934.6
831933,937.2
840336,939.7
848739,942.1
857143,944.4
865546,946.4
873950,948.4
882353,950.1
890756,951.9
899160,953.6
907563,955.4
915966,957.2
924370,959.2
932773,961.3
941176,963.5
949580,965.8
957983,968.2
966387,970.6
974790,972.9
983193,975.2
991597,977.3
1000000,979.3
